Jahr,Monat-Nr.,Monat,Wochen-Nr.,Stunde-Nr.,Stunde,Tote,Schwerverletzt,Leichtverletzt
1992,1,Januar,1,0,00.00 - 00.59,1,3,12
1992,1,Januar,1,1,01.00 - 01.59,0,4,5
1992,1,Januar,1,2,02.00 - 02.59,1,4,5
1992,1,Januar,1,3,03.00 - 03.59,0,0,4
1992,1,Januar,1,4,04.00 - 04.59,0,0,6
1992,1,Januar,1,5,05.00 - 05.59,2,0,1
1992,1,Januar,1,6,06.00 - 06.59,0,5,7
1992,1,Januar,1,7,07.00 - 07.59,1,3,4
1992,1,Januar,1,8,08.00 - 08.59,1,7,5
1992,1,Januar,1,9,09.00 - 09.59,0,2,10
1992,1,Januar,1,10,10.00 - 10.59,0,2,14
1992,1,Januar,1,11,11.00 - 11.59,0,1,8
1992,1,Januar,1,12,12.00 - 12.59,1,3,1
1992,1,Januar,1,13,13.00 - 13.59,0,3,8
1992,1,Januar,1,14,14.00 - 14.59,1,1,6
1992,1,Januar,1,15,15.00 - 15.59,0,6,11
1992,1,Januar,1,16,16.00 - 16.59,1,3,19
1992,1,Januar,1,17,17.00 - 17.59,2,6,10
1992,1,Januar,1,18,18.00 - 18.59,0,4,3
1992,1,Januar,1,19,19.00 - 19.59,0,5,6
1992,1,Januar,1,20,20.00 - 20.59,0,1,8
1992,1,Januar,1,21,21.00 - 21.59,1,3,4
1992,1,Januar,1,22,22.00 - 22.59,0,3,6
1992,1,Januar,1,23,23.00 - 23.59,1,3,2
1992,1,Januar,2,0,00.00 - 00.59,0,9,13
1992,1,Januar,2,1,01.00 - 01.59,0,2,7
1992,1,Januar,2,2,02.00 - 02.59,2,2,7
1992,1,Januar,2,3,03.00 - 03.59,0,4,1
1992,1,Januar,2,4,04.00 - 04.59,1,3,5
1992,1,Januar,2,5,05.00 - 05.59,0,1,3
1992,1,Januar,2,6,06.00 - 06.59,0,7,8
1992,1,Januar,2,7,07.00 - 07.59,1,15,24
1992,1,Januar,2,8,08.00 - 08.59,0,6,8
1992,1,Januar,2,9,09.00 - 09.59,0,3,12
1992,1,Januar,2,10,10.00 - 10.59,0,1,15
1992,1,Januar,2,11,11.00 - 11.59,1,10,20
1992,1,Januar,2,12,12.00 - 12.59,1,11,17
1992,1,Januar,2,13,13.00 - 13.59,0,7,18
1992,1,Januar,2,14,14.00 - 14.59,0,3,11
1992,1,Januar,2,15,15.00 - 15.59,1,7,13
1992,1,Januar,2,16,16.00 - 16.59,0,8,26
1992,1,Januar,2,17,17.00 - 17.59,1,7,26
1992,1,Januar,2,18,18.00 - 18.59,0,5,10
1992,1,Januar,2,19,19.00 - 19.59,0,4,11
1992,1,Januar,2,20,20.00 - 20.59,0,1,3
1992,1,Januar,2,21,21.00 - 21.59,0,1,11
1992,1,Januar,2,22,22.00 - 22.59,0,3,4
1992,1,Januar,2,23,23.00 - 23.59,0,7,4
1992,1,Januar,3,0,00.00 - 00.59,0,5,6
1992,1,Januar,3,1,01.00 - 01.59,3,3,8
1992,1,Januar,3,2,02.00 - 02.59,1,4,8
1992,1,Januar,3,3,03.00 - 03.59,2,1,2
1992,1,Januar,3,4,04.00 - 04.59,0,0,5
